order_id,order_date,customer_id,customer_segment,customer_type,region,city,product_category,product_subcategory,payment_method,campaign_source,quantity,unit_price,discount_pct,shipping_days,returned,order_value
O2025001,2025-04-25,C1198,consumer,vip,south,helsingborg,beauty,skincare,card,organic,4,33.9,0.182,3,Yes,110.9208
O2025003,2025-11-06,C1096,consumer,returning,north,uppsala,sports,fitness,paypal,organic,1,190.22,0,3,No,190.22
O2025004,2025-10-09,C1160,consumer,new,east,orebro,fashion,shoes,paypal,affiliate,1,144.56,0.042,5,No,138.48848
O2025005,2025-05-02,C1063,consumer,returning,east,linkoping,beauty,skincare,invoice,paid search,2,52.01,0.091,4,No,94.55418
O2025007,2025-02-27,C1238,small business,returning,west,goteborg,fashion,shoes,gift card,organic,1,97.55,0.055,1,No,92.18475
O2025008,2025-06-19,C1218,consumer,vip,north,vasteras,home,furniture,invoice,affiliate,1,1051.52,0.12,5,No,925.3376
O2025009,2025-03-18,C1240,consumer,returning,south,lund,fashion,sportswear,card,organic,4,82.84,0.041,3,No,317.77424
O2025010,2025-01-01,C1129,small business,new,north,vasteras,home,kitchen,invoice,social,2,164.19,0.058,5,No,309.33396
O2025011,2025-07-22,C1046,corporate,new,north,stockholm,beauty,haircare,gift card,social,1,38.97,0.028,2,No,37.87884
O2025012,2025-01-15,C1093,small business,returning,west,boras,sports,team sports,invoice,social,1,105.58,0.045,4,No,100.82889999999999
O2025013,2025-05-27,C1089,consumer,returning,south,lund,fashion,jackets,swish,social,1,203.5,0.055,2,No,192.30749999999998
O2025015,2025-09-28,C1052,consumer,returning,west,boras,sports,team sports,card,social,1,96.08,0.088,3,No,87.62496
O2025016,2025-12-14,C1141,small business,returning,south,malmo,beauty,skincare,paypal,direct,1,44.96,0.002,5,No,44.87008
O2025017,2025-06-11,C1164,corporate,returning,east,linkoping,home,kitchen,swish,direct,2,81.77,0.032,5,No,158.30671999999998
O2025018,2025-11-30,C1162,consumer,returning,south,helsingborg,fashion,jackets,card,paid search,1,175.92,0.143,3,No,150.76343999999997
O2025019,2025-07-28,C1043,corporate,new,south,lund,beauty,fragrance,card,organic,1,73.27,0,2,No,73.27
O2025021,2025-12-24,C1184,small business,returning,north,vasteras,fashion,sportswear,swish,social,1,90.24,0.014,4,Yes,88.97663999999999
O2025022,2025-09-07,C1189,consumer,new,south,helsingborg,home,kitchen,card,social,1,143.93,0.068,3,No,134.14276
O2025023,2025-06-18,C1243,consumer,returning,east,linkoping,sports,outdoor,card,direct,2,109.34,0.043,6,No,209.27676
O2025024,2025-04-23,C1138,consumer,new,north,stockholm,fashion,shoes,swish,social,2,103.55,0.036,2,No,199.6444
O2025025,2025-04-08,C1214,corporate,returning,south,lund,sports,fitness,swish,organic,1,343.08,0.036,4,No,330.72911999999997
O2025026,2025-02-03,C1080,consumer,new,north,stockholm,electronics,laptop,card,organic,1,1272.53,0.081,5,No,1169.45507
O2025027,2025-09-13,C1257,consumer,returning,north,uppsala,fashion,shoes,paypal,direct,1,110.05,0,1,No,110.05
O2025028,2025-06-13,C1246,small business,returning,west,boras,fashion,jackets,card,social,1,292.87,0.025,2,No,285.54825
O2025029,2025-08-15,C1067,small business,returning,west,halmstad,sports,fitness,invoice,email,1,251.89,0.021,4,No,246.60030999999998
O2025030,2025-10-29,C1219,consumer,new,north,stockholm,beauty,fragrance,invoice,paid search,1,74.62,0.057,4,No,70.36666
O2025031,2025-08-24,C1123,small business,returning,east,orebro,sports,cycling,card,organic,1,468.34,0.057,4,No,441.64462
O2025033,2025-05-11,C1013,consumer,returning,west,halmstad,electronics,mobile,invoice,affiliate,2,414.67,0.147,3,No,707.42702
O2025034,2025-01-23,C1084,corporate,vip,east,linkoping,fashion,sportswear,invoice,paid search,1,58.56,0.006,4,No,58.20864
O2025035,2025-10-22,C1206,consumer,new,east,orebro,home,decor,invoice,direct,1,123.8,0.107,5,No,110.5534
O2025036,2025-10-20,C1164,corporate,returning,east,linkoping,beauty,haircare,invoice,paid search,1,46.61,0.085,3,No,42.64815
O2025037,2025-05-23,C1252,corporate,returning,north,uppsala,electronics,laptop,card,email,1,1349.83,0.073,3,No,1251.29241
O2025038,2025-07-12,C1214,corporate,returning,south,lund,fashion,shoes,paypal,email,1,160.73,0.063,4,Yes,150.60401
O2025040,2025-11-18,C1228,small business,returning,west,halmstad,fashion,shoes,invoice,paid search,1,96.19,0.112,1,No,85.41672
O2025041,2025-04-09,C1221,consumer,returning,west,halmstad,beauty,skincare,invoice,affiliate,1,9.17,0.085,1,No,8.390550000000001
O2025042,2025-11-29,C1110,corporate,returning,east,norrkoping,home,furniture,card,email,2,601.47,0.21,5,No,950.3226000000001
O2025043,2025-02-13,C1131,small business,returning,north,vasteras,electronics,laptop,card,social,1,1094.44,0.079,4,No,1007.9792400000001
O2025044,2025-06-13,C1036,consumer,new,north,stockholm,home,furniture,gift card,affiliate,2,809.42,0.128,5,No,1411.6284799999999
O2025045,2025-02-05,C1229,corporate,returning,north,stockholm,fashion,accessories,gift card,direct,1,37.1,0.053,2,No,35.1337
O2025046,2025-07-10,C1234,consumer,new,east,orebro,electronics,tablet,invoice,organic,1,817.81,0.02,4,No,801.4537999999999
O2025047,2025-10-17,C1115,consumer,vip,east,linkoping,electronics,laptop,paypal,organic,1,818.25,0.168,3,No,680.784
O2025048,2025-08-14,C1218,consumer,vip,north,vasteras,electronics,tablet,gift card,direct,1,574.82,0.181,1,No,470.77758
O2025049,2025-10-18,C1224,corporate,returning,east,linkoping,home,kitchen,card,social,1,76.54,0.013,7,Yes,75.54498000000001
O2025050,2025-04-26,C1040,consumer,returning,east,linkoping,beauty,fragrance,card,direct,1,91.81,0.027,4,Yes,89.33113
O2025051,2025-03-21,C1038,consumer,returning,north,stockholm,beauty,skincare,swish,organic,1,54.84,0.129,1,No,47.765640000000005
O2025052,2025-02-16,C1090,consumer,returning,west,goteborg,home,kitchen,invoice,social,2,121.12,0.056,6,No,228.67455999999999
O2025053,2025-06-09,C1045,small business,returning,north,uppsala,home,decor,card,direct,2,103.64,0.005,2,No,206.2436
O2025054,2025-01-12,C1132,corporate,returning,west,boras,beauty,skincare,invoice,organic,1,43.04,0.098,3,Yes,38.82208
O2025055,2025-06-27,C1155,corporate,new,south,helsingborg,beauty,fragrance,swish,affiliate,1,70.19,0.076,6,No,64.85556
O2025056,2025-03-12,C1222,consumer,returning,east,linkoping,home,kitchen,card,email,1,91.02,0.159,5,No,76.54781999999999
O2025057,2025-08-30,C1127,small business,vip,west,goteborg,sports,outdoor,swish,social,1,268.75,0.11,3,No,239.1875
O2025058,2025-02-06,C1248,consumer,new,west,boras,electronics,laptop,swish,social,1,1128.65,0.008,5,No,1119.6208000000001
O2025059,2025-04-17,C1208,consumer,returning,north,stockholm,home,furniture,card,social,1,613.04,0,4,No,613.04
O2025061,2025-03-29,C1047,consumer,returning,east,norrkoping,fashion,jackets,swish,organic,1,70.13,0.011,6,No,69.35857
O2025062,2025-01-09,C1225,small business,returning,north,stockholm,fashion,jackets,card,paid search,3,148.78,0.061,1,No,419.1132600000001
O2025063,2025-11-21,C1127,small business,vip,west,goteborg,fashion,jackets,swish,organic,2,270.44,0.036,2,No,521.40832
O2025064,2025-02-13,C1231,corporate,new,north,uppsala,home,decor,invoice,email,1,79.08,0.133,5,Yes,68.56236
O2025065,2025-04-08,C1194,consumer,new,north,uppsala,home,furniture,card,organic,2,611.76,0.072,4,No,1135.42656
O2025066,2025-10-08,C1036,consumer,new,north,stockholm,sports,outdoor,card,email,1,108.56,0.005,3,No,108.0172
O2025067,2025-03-27,C1158,corporate,new,north,stockholm,beauty,fragrance,gift card,paid search,1,78.71,0.087,4,No,71.86223
O2025068,2025-09-24,C1210,small business,new,north,uppsala,home,kitchen,card,organic,1,157.71,0,2,No,157.71
O2025069,2025-09-30,C1192,corporate,returning,west,goteborg,home,decor,swish,organic,1,90.97,0.038,6,No,87.51313999999999
O2025070,2025-02-17,C1052,consumer,returning,west,boras,fashion,shoes,card,affiliate,2,102.38,0.085,3,Yes,187.3554
O2025071,2025-04-16,C1006,consumer,vip,east,orebro,home,lighting,card,organic,2,176.2,0.122,6,No,309.4072
